%time,field.header.seq,field.header.stamp,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1423458825697935119,527,1423458825686393976,0.854,-0.027,0.249,0.0,0.0,0.0,1.0
1423458825961614861,528,1423458825926224946,0.868,-0.026,0.25,0.0,0.0,0.0,1.0
1423458826175271033,529,1423458826165882110,0.88,-0.028,0.249,0.0,0.0,0.0,1.0
1423458826438988893,530,1423458826408593893,0.886,-0.025,0.249,0.0,0.0,0.0,1.0
1423458826652676155,531,1423458826647335052,0.891,-0.026,0.25,0.0,0.0,0.0,1.0
1423458826916309564,532,1423458826886110067,0.905,-0.022,0.249,0.0,0.0,0.0,1.0
1423458827129960382,533,1423458827126763105,0.907,-0.022,0.249,0.0,0.0,0.0,1.0
1423458827393682165,534,1423458827355494976,0.917,-0.02,0.249,0.0,0.0,0.0,1.0
1423458827607379541,535,1423458827590229034,0.925,-0.021,0.248,0.0,0.0,0.0,1.0
1423458827820959408,536,1423458827818017005,0.941,-0.022,0.254,0.0,0.0,0.0,1.0
1423458828535310334,537,1423458828506350994,0.959,-0.017,0.252,0.0,0.0,0.0,1.0
1423458828748981681,538,1423458828736056089,0.967,-0.015,0.249,0.0,0.0,0.0,1.0
1423458829012717039,539,1423458828986782073,0.976,-0.016,0.249,0.0,0.0,0.0,1.0
1423458829226324034,540,1423458829218485116,0.988,-0.015,0.25,0.0,0.0,0.0,1.0
1423458829489996686,541,1423458829456269979,0.996,-0.011,0.249,0.0,0.0,0.0,1.0
1423458829703626185,542,1423458829701009035,0.998,-0.011,0.248,0.0,0.0,0.0,1.0
1423458829967391576,543,1423458829925800085,1.01,-0.009,0.25,0.0,0.0,0.0,1.0
1423458830180993670,544,1423458830155570983,1.017,-0.011,0.248,0.0,0.0,0.0,1.0
1423458830394669160,545,1423458830389347076,1.024,-0.009,0.248,0.0,0.0,0.0,1.0
1423458830658384548,546,1423458830619151115,1.033,-0.009,0.25,0.0,0.0,0.0,1.0
1423458830872026170,547,1423458830847824096,1.043,-0.004,0.248,0.0,0.0,0.0,1.0
1423458831085713493,548,1423458831075683116,1.048,-0.003,0.249,0.0,0.0,0.0,1.0
1423458831349441697,549,1423458831307333946,1.054,-0.002,0.249,0.0,0.0,0.0,1.0
1423458831563089435,550,1423458831536185979,1.067,-0.004,0.248,0.0,0.0,0.0,1.0
1423458831776728912,551,1423458831765832901,1.074,0.0,0.25,0.0,0.0,0.0,1.0
1423458832040480388,552,1423458831999676942,1.082,-0.003,0.251,0.0,0.0,0.0,1.0
1423458832254140899,553,1423458832226435899,1.094,0.002,0.249,0.0,0.0,0.0,1.0
1423458832467848228,554,1423458832456269025,1.098,0.002,0.251,0.0,0.0,0.0,1.0
1423458832731583582,555,1423458832707957983,1.105,0.004,0.249,0.0,0.0,0.0,1.0
1423458832945320228,556,1423458832916779994,1.114,0.003,0.249,0.0,0.0,0.0,1.0
1423458833159004726,557,1423458833146481037,1.128,0.005,0.253,0.0,0.0,0.0,1.0
1423458833422746950,558,1423458833377296924,1.13,0.006,0.251,0.0,0.0,0.0,1.0
1423458833636400506,559,1423458833608006954,1.137,0.008,0.249,0.0,0.0,0.0,1.0
1423458833849998430,560,1423458833837786912,1.147,0.013,0.252,0.0,0.0,0.0,1.0
1423458834113724544,561,1423458834076564073,1.155,0.01,0.249,0.0,0.0,0.0,1.0
1423458834327322325,562,1423458834315300941,1.157,0.014,0.248,0.0,0.0,0.0,1.0
1423458834591019164,563,1423458834557061910,1.173,0.013,0.251,0.0,0.0,0.0,1.0
1423458834804615988,564,1423458834798824071,1.18,0.02,0.249,0.0,0.0,0.0,1.0
1423458835068321419,565,1423458835026608943,1.184,0.018,0.25,0.0,0.0,0.0,1.0
1423458835282011781,566,1423458835266356945,1.195,0.021,0.25,0.0,0.0,0.0,1.0
1423458835545688129,567,1423458835496184110,1.202,0.02,0.249,0.0,0.0,0.0,1.0
1423458835759281569,568,1423458835730832099,1.209,0.021,0.249,0.0,0.0,0.0,1.0
1423458836023002908,569,1423458835978672027,1.217,0.022,0.251,0.0,0.0,0.0,1.0
1423458836236629567,570,1423458836207406997,1.229,0.027,0.249,0.0,0.0,0.0,1.0
